issn,sjr,quartile,title
10747613,16.481,Q1,Immunity
25201158,16.266,Q1,Nature Catalysis
00223808,16.25,Q1,Journal of Political Economy
1537534X,16.25,Q1,Journal of Political Economy
15453278,16.066,Q1,Annual Review of Immunology
07320582,16.066,Q1,Annual Review of Immunology
15504131,15.978,Q1,Cell Metabolism
19327420,15.978,Q1,Cell Metabolism
15487091,15.624,Q1,Nature Methods
15487105,15.624,Q1,Nature Methods
2056676X,15.606,Q1,Nature Reviews Disease Primers
19449208,15.383,Q1,Reviews of Geophysics
87551209,15.383,Q1,Reviews of Geophysics
10614036,15.377,Q1,Nature Genetics
15461718,15.377,Q1,Nature Genetics
1553877X,14.838,Q1,IEEE Communications Surveys and Tutorials
01406736,14.821,Q1,The Lancet
1474547X,14.821,Q1,The Lancet
15458636,14.728,Q1,MMWR Surveillance Summaries
15460738,14.728,Q1,MMWR Surveillance Summaries
26628449,14.459,Q1,Nature Reviews Methods Primers
19416520,14.367,Q1,Academy of Management Annals
19416067,14.367,Q1,Academy of Management Annals
15527425,14.268,Q1,Organizational Research Methods
10944281,14.268,Q1,Organizational Research Methods
14338351,14.227,Q1,Living Reviews in Relativity
23673613,14.227,Q1,Living Reviews in Relativity
15454282,14.119,Q1,Annual Review of Astronomy and Astrophysics
00664146,14.119,Q1,Annual Review of Astronomy and Astrophysics
23973358,13.684,Q1,Nature Reviews Chemistry
14764660,13.131,Q1,Nature Materials
14761122,13.131,Q1,Nature Materials
24681253,13.113,Q1,The Lancet Gastroenterology and Hepatology
16000641,13.097,Q1,Journal of Hepatology
01688278,13.097,Q1,Journal of Hepatology
17483387,13.056,Q1,Nature Nanotechnology
17483395,13.056,Q1,Nature Nanotechnology
00346861,13.041,Q1,Reviews of Modern Physics
15390756,13.041,Q1,Reviews of Modern Physics
00664308,12.936,Q1,Annual Review of Psychology
15452085,12.936,Q1,Annual Review of Psychology
25424351,12.922,Q1,Joule
19457707,12.637,Q1,American Economic Journal: Macroeconomics
19457715,12.637,Q1,American Economic Journal: Macroeconomics
17494885,12.491,Q1,Nature Photonics
17494893,12.491,Q1,Nature Photonics
26621347,12.443,Q1,Nature Cancer
14744465,12.439,Q1,The Lancet Neurology
14744422,12.439,Q1,The Lancet Neurology
25201131,12.43,Q1,Nature Electronics
21571716,12.369,Q1,Kidney International Supplements
21571724,12.369,Q1,Kidney International Supplements
15477185,12.226,Q1,Journal of Marketing
00222429,12.226,Q1,Journal of Marketing
15534006,12.06,Q1,Annual Review of Pathology: Mechanisms of Disease
15534014,12.06,Q1,Annual Review of Pathology: Mechanisms of Disease
19345909,12.003,Q1,Cell Stem Cell
18759777,12.003,Q1,Cell Stem Cell
17568722,11.824,Q1,Journal of Hematology and Oncology
20972431,11.618,Q1,eScience
26671417,11.618,Q1,eScience
22138595,11.61,Q1,The Lancet Diabetes and Endocrinology
22138587,11.61,Q1,The Lancet Diabetes and Endocrinology
15221210,11.493,Q1,Physiological Reviews
00319333,11.493,Q1,Physiological Reviews
03060012,11.348,Q1,Chemical Society Reviews
14604744,11.348,Q1,Chemical Society Reviews
15372642,11.327,Q1,NBER Macroeconomics Annual
08893365,11.327,Q1,NBER Macroeconomics Annual
15454509,11.213,Q1,Annual Review of Biochemistry
00664154,11.213,Q1,Annual Review of Biochemistry
17595010,11.209,Q1,Nature Reviews Cardiology
17595002,11.209,Q1,Nature Reviews Cardiology
15292908,11.131,Q1,Nature Immunology
15292916,11.131,Q1,Nature Immunology
00935301,11.045,Q1,Journal of Consumer Research
15375277,11.045,Q1,Journal of Consumer Research
10976256,11.041,Q1,Nature Neuroscience
15461726,11.041,Q1,Nature Neuroscience
10959203,10.948,Q1,Science
00368075,10.948,Q1,Science
00014273,10.781,Q1,Academy of Management Journal
1759507X,10.732,Q1,Nature Reviews Nephrology
17595061,10.732,Q1,Nature Reviews Nephrology
10974164,10.67,Q1,Molecular Cell
10972765,10.67,Q1,Molecular Cell
14710048,10.282,Q1,Nature Reviews Neuroscience
1471003X,10.282,Q1,Nature Reviews Neuroscience
10970266,10.154,Q1,Strategic Management Journal
01432095,10.154,Q1,Strategic Management Journal
19475454,10.044,Q1,Annual Review of Condensed Matter Physics
19475462,10.044,Q1,Annual Review of Condensed Matter Physics
03637425,9.996,Q1,Academy of Management Review
19457189,9.991,Q1,Endocrine Reviews
0163769X,9.991,Q1,Endocrine Reviews
17595045,9.982,Q1,Nature Reviews Gastroenterology and Hepatology
17595053,9.982,Q1,Nature Reviews Gastroenterology and Hepatology
15452123,9.949,Q1,Annual Review of Plant Biology
15435008,9.949,Q1,Annual Review of Plant Biology
14764598,9.908,Q1,Molecular Cancer
19346069,9.892,Q1,Cell Host and Microbe
19313128,9.892,Q1,Cell Host and Microbe
1573692X,9.87,Q1,Review of Finance
15723097,9.87,Q1,Review of Finance
1475679X,9.774,Q1,Journal of Accounting Research
00218456,9.774,Q1,Journal of Accounting Research
25225812,9.602,Q1,Nature Metabolism
00018392,9.595,Q1,Administrative Science Quarterly
19303815,9.595,Q1,Administrative Science Quarterly
25225820,9.588,Q1,Nature Reviews Physics
26628465,9.5,Q1,Nature Aging
14702045,9.432,Q1,The Lancet Oncology
14745488,9.432,Q1,The Lancet Oncology
19457790,9.427,Q1,American Economic Journal: Applied Economics
19457782,9.427,Q1,American Economic Journal: Applied Economics
09354956,9.3,Q1,Astronomy and Astrophysics Review
14320754,9.3,Q1,Astronomy and Astrophysics Review
17545692,9.244,Q1,Energy and Environmental Science
17545706,9.244,Q1,Energy and Environmental Science
15518922,9.227,Q1,National Vital Statistics Reports
15518930,9.227,Q1,National Vital Statistics Reports
27316092,9.178,Q1,Nature Reviews Bioengineering
0003486X,9.137,Q1,Annals of Mathematics
19398980,9.137,Q1,Annals of Mathematics
2770596X,9.121,Q1,iMeta
27705986,9.121,Q1,iMeta
17595037,9.087,Q1,Nature Reviews Endocrinology
17595029,9.087,Q1,Nature Reviews Endocrinology
14764679,9.085,Q1,Nature Cell Biology
14657392,9.085,Q1,Nature Cell Biology
2157846X,8.997,Q1,Nature Biomedical Engineering
00015962,8.954,Q1,Acta Mathematica
18712509,8.954,Q1,Acta Mathematica
16144961,8.871,Q1,Living Reviews in Solar Physics
23673648,8.871,Q1,Living Reviews in Solar Physics
00346535,8.83,Q1,Review of Economics and Statistics
15309142,8.83,Q1,Review of Economics and Statistics
14683288,8.772,Q1,Gut
00175749,8.772,Q1,Gut
01654101,8.748,Q1,Journal of Accounting and Economics
18737560,8.715,Q1,European Urology
03022838,8.715,Q1,European Urology
01637525,8.648,Q1,Annual Review of Public Health
15452093,8.648,Q1,Annual Review of Public Health
10974199,8.564,Q1,Neuron
08966273,8.564,Q1,Neuron
24709468,8.56,Q1,Science Immunology
00332909,8.496,Q1,Psychological Bulletin
19391455,8.496,Q1,Psychological Bulletin
23116706,8.402,Q1,Nano-Micro Letters
21505551,8.402,Q1,Nano-Micro Letters
01492195,8.38,Q1,Morbidity and Mortality Weekly Report
1545861X,8.38,Q1,Morbidity and Mortality Weekly Report
18732208,8.365,Q1,Progress in Materials Science
00796425,8.365,Q1,Progress in Materials Science
07322399,8.324,Q1,Marketing Science
1526548X,8.324,Q1,Marketing Science
00097322,8.311,Q1,Circulation
15244539,8.311,Q1,Circulation
15583597,8.275,Q1,Journal of the American College of Cardiology
07351097,8.275,Q1,Journal of the American College of Cardiology
09359648,8.266,Q1,Advanced Materials
15214095,8.266,Q1,Advanced Materials
01492063,8.251,Q1,Journal of Management
15571211,8.251,Q1,Journal of Management
24682667,8.25,Q1,The Lancet Public Health
19411367,8.229,Q1,Annual Review of Financial Economics
19411375,8.229,Q1,Annual Review of Financial Economics
08953309,8.181,Q1,Journal of Economic Perspectives
19447965,8.181,Q1,Journal of Economic Perspectives
03051048,8.111,Q1,Nucleic Acids Research
13624962,8.111,Q1,Nucleic Acids Research
25208136,8.084,Q1,Electrochemical Energy Reviews
25208489,8.084,Q1,Electrochemical Energy Reviews
22150374,8.07,Q1,The Lancet Psychiatry
22150366,8.07,Q1,The Lancet Psychiatry
19438206,8.026,Q1,Advances in Optics and Photonics
03601285,8.013,Q1,Progress in Energy and Combustion Science
25233548,7.986,Q1,Cancer Communications
17586798,7.978,Q1,Nature Climate Change
1758678X,7.978,Q1,Nature Climate Change
00664278,7.966,Q1,Annual Review of Physiology
15451585,7.966,Q1,Annual Review of Physiology
23659440,7.947,Q1,International Journal of Educational Technology in Higher Education
15265455,7.929,Q1,Organization Science
10477039,7.929,Q1,Organization Science
23989629,7.896,Q1,Nature Sustainability
17554330,7.801,Q1,Nature Chemistry
17554349,7.801,Q1,Nature Chemistry
19457731,7.737,Q1,American Economic Journal: Economic Policy
1945774X,7.737,Q1,American Economic Journal: Economic Policy
10886834,7.702,Q1,Journal of the American Mathematical Society
08940347,7.702,Q1,Journal of the American Mathematical Society
15308995,7.701,Q1,Annual Review of Cell and Developmental Biology
10810706,7.701,Q1,Annual Review of Cell and Developmental Biology
16742052,7.692,Q1,Molecular Plant
17529867,7.692,Q1,Molecular Plant
16146832,7.677,Q1,Advanced Energy Materials
16146840,7.677,Q1,Advanced Energy Materials
22132619,7.652,Q1,The Lancet Respiratory Medicine
22132600,7.652,Q1,The Lancet Respiratory Medicine
0147006X,7.549,Q1,Annual Review of Neuroscience
15454126,7.549,Q1,Annual Review of Neuroscience
15561380,7.497,Q1,Journal of Thoracic Oncology
15560864,7.497,Q1,Journal of Thoracic Oncology
20585276,7.44,Q1,Nature Microbiology
26628643,7.423,Q1,eLight
20971710,7.423,Q1,eLight
17502799,7.403,Q1,Nature Protocols
17542189,7.403,Q1,Nature Protocols
23742445,7.399,Q1,JAMA Oncology
23742437,7.399,Q1,JAMA Oncology
21598274,7.389,Q1,Cancer Discovery
21598290,7.389,Q1,Cancer Discovery
00222437,7.363,Q1,Journal of Marketing Research
15477193,7.363,Q1,Journal of Marketing Research
00034967,7.286,Q1,Annals of the Rheumatic Diseases
14682060,7.286,Q1,Annals of the Rheumatic Diseases
15424774,7.259,Q1,Journal of the European Economic Association
15424766,7.259,Q1,Journal of the European Economic Association
18663516,7.199,Q1,Earth System Science Data
18663508,7.199,Q1,Earth System Science Data
19355548,7.161,Q1,Diabetes Care
01495992,7.161,Q1,Diabetes Care
2666920X,7.083,Q1,Computers and Education: Artificial Intelligence
17594766,7.083,Q1,Nature Reviews Neurology
17594758,7.083,Q1,Nature Reviews Neurology
02709139,7.063,Q1,Hepatology
15273350,7.063,Q1,Hepatology
19466234,7.026,Q1,Science Translational Medicine
19466242,7.026,Q1,Science Translational Medicine
20420226,7.021,Q1,Cellular and Molecular Immunology
16727681,7.021,Q1,Cellular and Molecular Immunology
19410611,6.925,Q1,Annual Review of Marine Science
19411405,6.925,Q1,Annual Review of Marine Science
25225839,6.902,Q1,Nature Machine Intelligence
23523026,6.899,Q1,The Lancet Haematology
24519960,6.899,Q1,The Lancet Haematology
17487838,6.865,Q1,Cell Research
10010602,6.865,Q1,Cell Research
23808942,6.859,Q1,MMWR supplements
23808950,6.859,Q1,MMWR supplements
21645760,6.838,Q1,Critical Finance Review
21645744,6.838,Q1,Critical Finance Review
09628924,6.813,Q1,Trends in Cell Biology
18793088,6.813,Q1,Trends in Cell Biology
0734306X,6.774,Q1,Journal of Labor Economics
15375307,6.774,Q1,Journal of Labor Economics
17594790,6.768,Q1,Nature Reviews Rheumatology
17594804,6.768,Q1,Nature Reviews Rheumatology
27310574,6.763,Q1,Nature Reviews Psychology
1545326X,6.762,Q1,Annual Review of Medicine
00664219,6.762,Q1,Annual Review of Medicine
15459993,6.761,Q1,Nature Structural and Molecular Biology
15459985,6.761,Q1,Nature Structural and Molecular Biology
15280012,6.688,Q1,Gastroenterology
00165085,6.688,Q1,Gastroenterology
15672409,6.641,Q1,Foundations and Trends in Finance
15672395,6.641,Q1,Foundations and Trends in Finance
08938512,6.584,Q1,Clinical Microbiology Reviews
10986618,6.584,Q1,Clinical Microbiology Reviews
17452473,6.581,Q1,Nature Physics
17452481,6.581,Q1,Nature Physics
03044076,6.575,Q1,Journal of Econometrics
18726895,6.575,Q1,Journal of Econometrics
00925853,6.539,Q1,American Journal of Political Science
15405907,6.539,Q1,American Journal of Political Science
2666979X,6.518,Q1,Cell Genomics
24519308,6.508,Q1,Chem
24519294,6.508,Q1,Chem
15580008,6.496,Q1,IEEE Journal on Selected Areas in Communications
07338716,6.496,Q1,IEEE Journal on Selected Areas in Communications
21603308,6.494,Q1,Physical Review X
15602745,6.487,Q1,Fungal Diversity
18789129,6.487,Q1,Fungal Diversity
15485951,6.482,Q1,Annual Review of Clinical Psychology
15485943,6.482,Q1,Annual Review of Clinical Psychology
10636919,6.466,-,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition
1936878X,6.43,Q1,JACC: Cardiovascular Imaging
18767591,6.43,Q1,JACC: Cardiovascular Imaging
00251909,6.428,Q1,Management Science
15265501,6.428,Q1,Management Science
00920703,6.426,Q1,Journal of the Academy of Marketing Science
15527824,6.426,Q1,Journal of the Academy of Marketing Science
10942939,6.416,Q1,Annual Review of Political Science
15451577,6.416,Q1,Annual Review of Political Science
15326985,6.305,Q1,Educational Psychologist
00461520,6.305,Q1,Educational Psychologist
10888683,6.292,Q1,Personality and Social Psychology Review
15327957,6.292,Q1,Personality and Social Psychology Review
03043932,6.262,Q1,Journal of Monetary Economics
17501326,6.262,Q1,Molecular Neurodegeneration
00796700,6.25,Q1,Progress in Polymer Science
00088846,6.233,Q1,Cement and Concrete Research
25897500,6.221,Q1,The Lancet Digital Health
27911748,6.191,Q1,Photonics Insights
15505499,6.187,-,Proceedings of the IEEE International Conference on Computer Vision
23807504,6.187,-,Proceedings of the IEEE International Conference on Computer Vision
27310582,6.18,Q1,Nature Synthesis
15452050,6.175,Q1,Annual Review of Environment and Resources
15435938,6.175,Q1,Annual Review of Environment and Resources
26659913,6.167,Q1,The Lancet Rheumatology
01936530,6.161,-,Digest of Technical Papers - IEEE International Solid-State Circuits Conference
17520908,6.141,Q1,Nature Geoscience
17520894,6.141,Q1,Nature Geoscience
10489843,6.124,Q1,Leadership Quarterly
13684221,6.123,Q1,Econometrics Journal
1368423X,6.123,Q1,Econometrics Journal
15454479,6.119,Q1,Annual Review of Fluid Mechanics
00664189,6.119,Q1,Annual Review of Fluid Mechanics
25152459,6.094,Q1,Advances in Methods and Practices in Psychological Science
25152467,6.094,Q1,Advances in Methods and Practices in Psychological Science
15488004,6.085,Q1,Journal of Human Resources
0022166X,6.085,Q1,Journal of Human Resources
15524469,6.032,Q1,Nature Chemical Biology
15524450,6.032,Q1,Nature Chemical Biology
23806583,6.028,Q1,JAMA Cardiology
23806591,6.028,Q1,JAMA Cardiology
26621355,5.996,Q1,Nature Food
15401413,5.992,Q1,JNCCN Journal of the National Comprehensive Cancer Network
15401405,5.992,Q1,JNCCN Journal of the National Comprehensive Cancer Network
14602369,5.991,Q1,Human Reproduction Update
13554786,5.991,Q1,Human Reproduction Update
03600300,5.985,Q1,ACM Computing Surveys
15577341,5.985,Q1,ACM Computing Surveys
13876473,5.925,Q1,New Astronomy Reviews
19358245,5.923,Q1,Foundations and Trends in Machine Learning
19358237,5.923,Q1,Foundations and Trends in Machine Learning
15280020,5.912,Q1,Blood
00064971,5.912,Q1,Blood
2572116X,5.911,Q1,The Lancet Global Health
2214109X,5.911,Q1,The Lancet Global Health
02684012,5.899,Q1,International Journal of Information Management
20549369,5.898,Q1,Military Medical Research
20957467,5.898,Q1,Military Medical Research
24709476,5.883,Q1,Science Robotics
15383598,5.843,Q1,JAMA
00987484,5.843,Q1,JAMA
00221007,5.83,Q1,Journal of Experimental Medicine
15409538,5.83,Q1,Journal of Experimental Medicine
1474760X,5.792,Q1,Genome Biology
14747596,5.792,Q1,Genome Biology
23808195,5.783,Q1,ACS Energy Letters
08839026,5.778,Q1,Journal of Business Venturing
27316084,5.735,Q1,Nature Water
15265536,5.679,Q1,Information Systems Research
10477047,5.679,Q1,Information Systems Research
10422587,5.67,Q1,Entrepreneurship Theory and Practice
15406520,5.67,Q1,Entrepreneurship Theory and Practice
21680949,5.646,Q1,Cambridge Journal of Mathematics
21680930,5.646,Q1,Cambridge Journal of Mathematics
15577368,5.633,Q1,ACM Transactions on Graphics
07300301,5.633,Q1,ACM Transactions on Graphics
19414927,5.608,Q1,National Center for Health Statistics Data Brief
19414935,5.608,Q1,National Center for Health Statistics Data Brief
21686157,5.599,Q1,JAMA Neurology
21686149,5.599,Q1,JAMA Neurology
15582256,5.561,Q1,Proceedings of the IEEE
00189219,5.561,Q1,Proceedings of the IEEE
15737136,5.56,Q1,Review of Accounting Studies
13806653,5.56,Q1,Review of Accounting Studies
00852538,5.559,Q1,Kidney International
15231755,5.559,Q1,Kidney International
14744457,5.549,Q1,The Lancet Infectious Diseases
14733099,5.549,Q1,The Lancet Infectious Diseases
21600031,5.539,Q1,Psychological Science in the Public Interest
15291006,5.539,Q1,Psychological Science in the Public Interest
10946705,5.517,Q1,Journal of Service Research
15527379,5.517,Q1,Journal of Service Research
14337851,5.495,Q1,Angewandte Chemie - International Edition
15213773,5.495,Q1,Angewandte Chemie - International Edition
15345807,5.494,Q1,Developmental Cell
18781551,5.494,Q1,Developmental Cell
15205126,5.491,Q1,Journal of the American Chemical Society
00027863,5.491,Q1,Journal of the American Chemical Society
24058033,5.488,Q1,Trends in Cancer
24058025,5.488,Q1,Trends in Cancer
19391854,5.473,Q1,Journal of Applied Psychology
00219010,5.473,Q1,Journal of Applied Psychology
00014842,5.472,Q1,Accounts of Chemical Research
15204898,5.472,Q1,Accounts of Chemical Research
15452948,5.472,Q1,Annual Review of Genetics
00664197,5.472,Q1,Annual Review of Genetics
19361238,5.442,Q1,Annual Review of Biophysics
1936122X,5.442,Q1,Annual Review of Biophysics
15375943,5.433,Q1,American Political Science Review
00030554,5.433,Q1,American Political Science Review
26667568,5.433,Q1,The Lancet Healthy Longevity
1073449X,5.423,Q1,American Journal of Respiratory and Critical Care Medicine
15354970,5.423,Q1,American Journal of Respiratory and Critical Care Medicine
00846597,5.413,Q1,Annual Review of Earth and Planetary Sciences
00315826,5.41,Q1,Personnel Psychology
17446570,5.41,Q1,Personnel Psychology
00097330,5.371,Q1,Circulation Research
15244571,5.371,Q1,Circulation Research
01466410,5.361,Q1,Progress in Particle and Nuclear Physics
21686238,5.335,Q1,JAMA Psychiatry
2168622X,5.335,Q1,JAMA Psychiatry
18731317,5.334,Q1,Journal of Operations Management
02726963,5.334,Q1,Journal of Operations Management
14740508,5.33,Q1,Acta Numerica
09624929,5.33,Q1,Acta Numerica
15229645,5.326,Q1,European Heart Journal
0195668X,5.326,Q1,European Heart Journal
03701573,5.32,Q1,Physics Reports
15327663,5.284,Q1,Journal of Consumer Psychology
10577408,5.284,Q1,Journal of Consumer Psychology
13687646,5.279,Q1,Drug Resistance Updates
15322084,5.279,Q1,Drug Resistance Updates
15228517,5.249,Q1,Neuro-Oncology
15235866,5.249,Q1,Neuro-Oncology
26913399,5.222,Q1,PRX Quantum
15452069,5.205,Q1,"Annual Review of Ecology, Evolution, and Systematics"
1543592X,5.205,Q1,"Annual Review of Ecology, Evolution, and Systematics"
00209910,5.202,Q1,Inventiones Mathematicae
14321297,5.202,Q1,Inventiones Mathematicae
26665247,5.192,Q1,The Lancet Microbe
13509047,5.182,Q1,Cell Death and Differentiation
14765403,5.182,Q1,Cell Death and Differentiation
14680297,5.181,Q1,Economic Journal
00130133,5.181,Q1,Economic Journal
13509462,5.181,Q1,Progress in Retinal and Eye Research
18731635,5.181,Q1,Progress in Retinal and Eye Research
00222380,5.178,Q1,Journal of Management Studies
14676486,5.178,Q1,Journal of Management Studies
25673165,5.171,Q1,InfoMat
12263613,5.123,Q1,Experimental and Molecular Medicine
20926413,5.123,Q1,Experimental and Molecular Medicine
2055026X,5.106,Q1,Nature Plants
20550278,5.106,Q1,Nature Plants
09031936,5.076,Q1,European Respiratory Journal
13993003,5.076,Q1,European Respiratory Journal
00664227,5.052,Q1,Annual Review of Microbiology
15453251,5.052,Q1,Annual Review of Microbiology
01999885,5.05,Q1,Annual Review of Nutrition
15454312,5.05,Q1,Annual Review of Nutrition
20968663,5.049,Q1,Journal of the National Cancer Center
26670054,5.049,Q1,Journal of the National Cancer Center
00346543,5.04,Q1,Review of Educational Research
19351046,5.04,Q1,Review of Educational Research
16163028,5.022,Q1,Advanced Functional Materials
1616301X,5.022,Q1,Advanced Functional Materials
1558173X,5.013,Q1,IEEE Journal of Solid-State Circuits
00189200,5.013,Q1,IEEE Journal of Solid-State Circuits
08906955,5.005,Q1,International Journal of Machine Tools and Manufacture
18737811,5.002,Q1,Clinical Psychology Review
02727358,5.002,Q1,Clinical Psychology Review
20777019,4.995,Q1,Mycosphere
20777000,4.995,Q1,Mycosphere
20479158,4.992,Q1,Translational Neurodegeneration
23301279,4.988,Q1,National Toxicology Program Monograph
23785144,4.988,Q1,National Toxicology Program Monograph
21686114,4.984,Q1,JAMA Internal Medicine
21686106,4.984,Q1,JAMA Internal Medicine
1756994X,4.971,Q1,Genome Medicine
15210081,4.967,Q1,Pharmacological Reviews
00316997,4.967,Q1,Pharmacological Reviews
13889842,4.965,Q1,European Journal of Heart Failure
18790844,4.965,Q1,European Journal of Heart Failure
01660616,4.962,Q1,Studies in Mycology
25902393,4.959,Q1,Matter
25902385,4.959,Q1,Matter
24054720,4.954,Q1,Cell Systems
24054712,4.954,Q1,Cell Systems
17485908,4.951,Q1,Implementation Science
20477538,4.946,Q1,Light: Science and Applications
20955545,4.946,Q1,Light: Science and Applications
22872728,4.937,Q1,Clinical and Molecular Hepatology
2287285X,4.937,Q1,Clinical and Molecular Hepatology
26663791,4.932,Q1,Cell Reports Medicine
15454304,4.927,Q1,Annual Review of Pharmacology and Toxicology
03621642,4.927,Q1,Annual Review of Pharmacology and Toxicology
09066713,4.915,Q1,Periodontology 2000
16000757,4.915,Q1,Periodontology 2000
10963650,4.91,Q1,Seminars in Cancer Biology
1044579X,4.91,Q1,Seminars in Cancer Biology
13697021,4.909,Q1,Materials Today
18734103,4.909,Q1,Materials Today
28348966,4.908,Q1,Responsive Materials
25897780,4.906,Q1,EnergyChem
20411723,4.904,Q1,Nature Communications
23973374,4.896,Q1,Nature Human Behaviour
10534822,4.892,Q1,Human Resource Management Review
20565968,4.879,Q1,Cell Discovery
2767441X,4.859,Q1,Interdisciplinary Materials
27674401,4.859,Q1,Interdisciplinary Materials
17456916,4.859,Q1,Perspectives on Psychological Science
17456924,4.859,Q1,Perspectives on Psychological Science
26317877,4.852,Q1,Organization Theory
03063674,4.847,Q1,British Journal of Sports Medicine
14730480,4.847,Q1,British Journal of Sports Medicine
24058297,4.845,Q1,Energy Storage Materials
17590876,4.842,Q1,Wiley Interdisciplinary Reviews: Computational Molecular Science
17590884,4.842,Q1,Wiley Interdisciplinary Reviews: Computational Molecular Science
18730353,4.841,Q1,Journal of International Economics
00221996,4.841,Q1,Journal of International Economics
1040726X,4.84,Q1,Educational Psychology Review
1573336X,4.84,Q1,Educational Psychology Review
01628828,4.829,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence
19393539,4.829,Q1,IEEE Transactions on Pattern Analysis and Machine Intelligence
20954700,4.815,Q1,Bone Research
20956231,4.815,Q1,Bone Research
00219738,4.809,Q1,Journal of Clinical Investigation
15588238,4.809,Q1,Journal of Clinical Investigation
29499526,4.787,Q1,New Crops
18732194,4.786,Q1,Progress in Lipid Research
01637827,4.786,Q1,Progress in Lipid Research
1082989X,4.769,Q1,Psychological Methods
19391463,4.769,Q1,Psychological Methods
27310590,4.767,Q1,Nature Cardiovascular Research
09589465,4.762,Q1,Cement and Concrete Composites
23523018,4.757,Q1,The Lancet HIV
10780432,4.751,Q1,Clinical Cancer Research
15573265,4.751,Q1,Clinical Cancer Research
14602156,4.746,Q1,Brain
00068950,4.746,Q1,Brain
01695347,4.728,Q1,Trends in Ecology and Evolution
18728383,4.728,Q1,Trends in Ecology and Evolution
27662098,4.726,Q1,Exploration
27668509,4.726,Q1,Exploration
16748018,4.717,Q1,Protein and Cell
1674800X,4.717,Q1,Protein and Cell
2397334X,4.671,Q1,Nature Ecology and Evolution
15265498,4.661,Q1,Manufacturing and Service Operations Management
15234614,4.661,Q1,Manufacturing and Service Operations Management
15277755,4.648,Q1,Journal of Clinical Oncology
0732183X,4.648,Q1,Journal of Clinical Oncology
26433230,4.623,Q1,Blood Cancer Discovery
26433249,4.623,Q1,Blood Cancer Discovery
17562171,4.617,Q1,RAND Journal of Economics
07416261,4.617,Q1,RAND Journal of Economics
26386100,4.61,Q1,Radiology: Artificial Intelligence
1469185X,4.609,Q1,Biological Reviews
14647931,4.609,Q1,Biological Reviews
14765578,4.602,Q1,Molecular Psychiatry
13594184,4.602,Q1,Molecular Psychiatry
00904848,4.598,Q1,Human Resource Management
1099050X,4.598,Q1,Human Resource Management
17597323,4.595,Q1,Quantitative Economics
17597331,4.595,Q1,Quantitative Economics
13652486,4.581,Q1,Global Change Biology
13541013,4.581,Q1,Global Change Biology
